Name:;Data 8199 2391 4/19/2024 14:37:37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Owner:;VLIR-UOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Comments:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acquisition Date:;4/19/2024 2:37:37 PM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
&Instrument:;34972A;Address:;USB0::2391::8199::MY57007646::0::INSTR;Modules:;1;Slot1:;34901A;;;;;;;;;;;;;;;;;;;;;;;;;;
Total Channels:;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Channel;Name;Function;Range;Resolution;AdvSettings;Scale;Gain;Offset;Label;Test;Low;High;HWAlarm;;;;;;;;;;;;;;;;;;;;
101;0;Temp (Type K);None;C;Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false;FALSE;1;0;C;Off;0;1;Alarm 1;;;;;;;;;;;;;;;;;;;;
103;2;Temp (Type K);None;C;Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false;TRUE;1;0;C;Off;0;1;Alarm 1;;;;;;;;;;;;;;;;;;;;
105;4;Temp (Type K);None;C;Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false;TRUE;1;0;C;Off;0;1;Alarm 1;;;;;;;;;;;;;;;;;;;;
106;5;Temp (Type K);None;C;Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false;TRUE;1;0;C;Off;0;1;Alarm 1;;;;;;;;;;;;;;;;;;;;
107;6;Temp (Type K);None;C;Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false;TRUE;1;0;C;Off;0;1;Alarm 1;;;;;;;;;;;;;;;;;;;;
108;7;Temp (Type K);None;C;Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false;TRUE;1;0;C;Off;0;1;Alarm 1;;;;;;;;;;;;;;;;;;;;
109;8;Temp (Type K);None;C;Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false;TRUE;1;0;C;Off;0;1;Alarm 1;;;;;;;;;;;;;;;;;;;;
110;9;Temp (Type K);None;C;Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false;TRUE;1;0;C;Off;0;1;Alarm 1;;;;;;;;;;;;;;;;;;;;
111;10;Temp (Type K);None;C;Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false;TRUE;1;0;C;Off;0;1;Alarm 1;;;;;;;;;;;;;;;;;;;;
112;11Outside;Temp (Type K);None;C;Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false;TRUE;1;0;C;Off;0;1;Alarm 1;;;;;;;;;;;;;;;;;;;;
113;12;Temp (Type K);None;C;Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false;TRUE;1;0;C;Off;0;1;Alarm 1;;;;;;;;;;;;;;;;;;;;
114;13;Temp (Type K);None;C;Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false;TRUE;1;0;C;Off;0;1;Alarm 1;;;;;;;;;;;;;;;;;;;;
115;14;Temp (Type K);None;C;Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false;TRUE;1;0;C;Off;0;1;Alarm 1;;;;;;;;;;;;;;;;;;;;
116;15;Temp (Type K);None;C;Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false;TRUE;1;0;C;Off;0;1;Alarm 1;;;;;;;;;;;;;;;;;;;;
118;17;Temp (Type K);None;C;Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false;TRUE;1;0;C;Off;0;1;Alarm 1;;;;;;;;;;;;;;;;;;;;
119;18Outside;Temp (Type K);None;C;Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false;TRUE;1;0;C;Off;0;1;Alarm 1;;;;;;;;;;;;;;;;;;;;
Scan  Control:;Start Action:;Immediately;Stop Action:;User Terminated;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Scan;Time;101 <00> (C);Alarm 101;103 <02> (C);Alarm 103;105 <04> (C);Alarm 105;106 <05> (C);Alarm 106;107 <06> (C);Alarm 107;108 <07> (C);Alarm 108;109 <08> (C);Alarm 109;110 <09> (C);Alarm 110;111 <10> (C);Alarm 111;112 <11Outside> (C);Alarm 112;113 <12> (C);Alarm 113;114 <13> (C);Alarm 114;115 <14> (C);Alarm 115;116 <15> (C);Alarm 116;118 <17> (C);Alarm 118;119 <18Outside> (C);Alarm 119
