Name:,Data 0x2007 0x0957 4/4/2023 10:34:32 2
Owner:,matth
Comments:,
Acquisition Date:,4/04/2023 10:34:32
&Instrument:,34972A,Address:,USB0::0x0957::0x2007::MY57007646::INSTR,Modules:,1,Slot1:,34901A
Total Channels:,22
Channel,Name,Function,Range,Resolution,AdvSettings,Scale,Gain,Offset,Label,Test,Low,High,HWAlarm
101,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
102,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
103,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
104,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
105,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
106,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
107,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
108,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
109,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
110,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
111,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
112,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
113,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
114,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
115,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
116,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
117,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
118,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
119,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
120,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
121,,DC Current,Auto,5.5,DC Current#1#0.016#Auto#0.001,False,1,0,ADC,Off,0,1,Alarm 1
122,,DC Current,Auto,5.5,DC Current#1#0.016#Auto#0.001,False,1,0,ADC,Off,0,1,Alarm 1
Scan  Control:,Start Action:,Immediately,Stop Action:,User Terminated
Scan,Time,101 (C),Alarm 101,102 (C),Alarm 102,103 (C),Alarm 103,104 (C),Alarm 104,105 (C),Alarm 105,106 (C),Alarm 106,107 (C),Alarm 107,108 (C),Alarm 108,109 (C),Alarm 109,110 (C),Alarm 110,111 (C),Alarm 111,112 (C),Alarm 112,113 (C),Alarm 113,114 (C),Alarm 114,115 (C),Alarm 115,116 (C),Alarm 116,117 (C),Alarm 117,118 (C),Alarm 118,119 (C),Alarm 119,120 (C),Alarm 120,121 (ADC),Alarm 121,122 (ADC),Alarm 122
1,4/04/2023 10:34:32:240,22.571,0,-93.422,0,22.728,0,-145.239,0,22.503,0,22.543,0,22.623,0,22.415,0,22.519,0,22.513,0,21.955,0,17.549,0,19.502,0,22.349,0,22.262,0,21.903,0,75.798,0,22.338,0,17.148,0,-9.9E+37,0,-4.14E-08,0,-4.14E-08,0
2,4/04/2023 10:34:42:224,22.497,0,-9.9E+37,0,22.711,0,-9.9E+37,0,22.502,0,22.525,0,22.641,0,22.428,0,22.55,0,22.538,0,21.973,0,17.623,0,19.556,0,22.384,0,22.308,0,21.931,0,92.42,0,22.386,0,17.212,0,-9.9E+37,0,4.14E-08,0,-1.241E-07,0
3,4/04/2023 10:34:52:224,22.515,0,-9.9E+37,0,22.715,0,-129.261,0,22.516,0,22.535,0,22.641,0,22.427,0,22.554,0,22.529,0,21.984,0,17.647,0,19.551,0,22.387,0,22.3,0,21.923,0,181.805,0,22.381,0,17.144,0,-9.9E+37,0,-2.07E-08,0,-2.07E-08,0
4,4/04/2023 10:35:02:224,22.589,0,-177.108,0,22.763,0,-150.437,0,22.546,0,22.561,0,22.655,0,22.429,0,22.557,0,22.55,0,22.067,0,17.637,0,19.518,0,22.37,0,22.264,0,21.907,0,275.374,0,22.346,0,17.197,0,-195.453,0,-1.241E-07,0,-4.14E-08,0
5,4/04/2023 10:35:12:224,22.594,0,-147.597,0,22.767,0,-123.707,0,22.533,0,22.546,0,22.661,0,22.415,0,22.529,0,22.543,0,22.281,0,17.616,0,19.536,0,22.372,0,22.295,0,21.915,0,340.848,0,22.355,0,17.17,0,-144.698,0,1.241E-07,0,-1.241E-07,0
6,4/04/2023 10:35:22:224,22.52,0,-98.077,0,22.723,0,-9.9E+37,0,22.515,0,22.533,0,22.644,0,22.425,0,22.554,0,22.526,0,22.597,0,17.649,0,19.571,0,22.381,0,22.303,0,21.975,0,280.306,0,22.385,0,17.122,0,-166.506,0,4.14E-08,0,4.14E-08,0
7,4/04/2023 10:35:32:224,22.523,0,-193.827,0,22.712,0,-194.529,0,22.499,0,22.52,0,22.634,0,22.404,0,22.557,0,22.529,0,22.98,0,17.651,0,19.577,0,22.394,0,22.297,0,21.98,0,113.543,0,22.4,0,17.072,0,-9.9E+37,0,-1.034E-07,0,-1.655E-07,0
8,4/04/2023 10:35:42:224,22.518,0,-9.9E+37,0,22.691,0,-9.9E+37,0,22.504,0,22.512,0,22.631,0,22.402,0,22.523,0,22.521,0,23.504,0,17.625,0,19.563,0,22.365,0,22.271,0,22.02,0,60.94,0,22.364,0,17.099,0,-9.9E+37,0,-1.034E-07,0,2.07E-08,0
9,4/04/2023 10:35:52:224,22.554,0,-9.9E+37,0,22.748,0,-9.9E+37,0,22.54,0,22.558,0,22.662,0,22.438,0,22.562,0,22.552,0,24.159,0,17.654,0,19.611,0,22.402,0,22.334,0,22.141,0,195.083,0,22.405,0,17.217,0,-9.9E+37,0,6.2E-08,0,-6.2E-08,0
10,4/04/2023 10:36:02:224,22.567,0,-120.303,0,22.743,0,-172.415,0,22.533,0,22.54,0,22.657,0,22.451,0,22.575,0,22.56,0,24.881,0,17.662,0,19.621,0,22.412,0,22.318,0,22.245,0,375.566,0,22.405,0,17.264,0,-142.874,0,-8.27E-08,0,8.27E-08,0
11,4/04/2023 10:36:12:224,22.548,0,-85.285,0,22.715,0,-9.9E+37,0,22.52,0,22.566,0,22.636,0,22.446,0,22.569,0,22.55,0,25.713,0,17.638,0,19.619,0,22.389,0,22.315,0,22.341,0,273.611,0,22.384,0,17.323,0,-129.481,0,6.2E-08,0,6.2E-08,0
12,4/04/2023 10:36:22:224,22.546,0,-9.9E+37,0,22.715,0,-9.9E+37,0,22.512,0,22.548,0,22.636,0,22.461,0,22.564,0,22.534,0,26.658,0,17.622,0,19.613,0,22.383,0,22.3,0,22.503,0,96.798,0,22.371,0,17.375,0,-9.9E+37,0,0,0,1.241E-07,0
13,4/04/2023 10:36:32:224,22.554,0,-9.9E+37,0,22.765,0,-117.267,0,22.539,0,22.55,0,22.662,0,22.53,0,22.59,0,22.595,0,27.625,0,17.677,0,19.654,0,22.534,0,22.365,0,22.744,0,50.819,0,22.418,0,17.424,0,-9.9E+37,0,4.14E-08,0,-2.07E-08,0
14,4/04/2023 10:36:42:224,22.574,0,-9.9E+37,0,22.846,0,-9.9E+37,0,22.56,0,22.592,0,22.661,0,22.79,0,22.746,0,23.547,0,28.545,0,17.694,0,19.674,0,22.983,0,22.769,0,23.023,0,98.922,0,22.402,0,17.366,0,-9.9E+37,0,-6.2E-08,0,-4.14E-08,0
15,4/04/2023 10:36:52:224,22.647,0,-9.9E+37,0,23.126,0,-166.217,0,22.618,0,22.618,0,22.685,0,23.108,0,23.258,0,23.984,0,29.365,0,17.712,0,20.088,0,23.392,0,23.035,0,23.317,0,289.934,0,22.405,0,17.312,0,-187.347,0,-1.034E-07,0,-6.2E-08,0
16,4/04/2023 10:37:02:224,22.699,0,-98.67,0,23.704,0,-183.307,0,22.595,0,22.644,0,22.688,0,23.386,0,23.515,0,24.06,0,30.21,0,17.715,0,20.473,0,24,0,23.189,0,23.681,0,328.961,0,22.397,0,17.279,0,-129.428,0,2.07E-08,0,-1.034E-07,0
17,4/04/2023 10:37:12:224,22.695,0,-115.653,0,23.366,0,-9.9E+37,0,22.66,0,22.709,0,23.314,0,23.546,0,24.057,0,24.376,0,31.05,0,17.748,0,20.595,0,24.736,0,23.628,0,24.137,0,215.053,0,22.445,0,17.244,0,-160.026,0,4.14E-08,0,1.241E-07,0
18,4/04/2023 10:37:22:224,22.778,0,-9.9E+37,0,23.48,0,-9.9E+37,0,22.728,0,22.712,0,23.936,0,23.706,0,24.504,0,26.016,0,31.841,0,17.727,0,20.577,0,25.21,0,24.209,0,24.585,0,133.014,0,22.774,0,17.22,0,-9.9E+37,0,8.27E-08,0,1.034E-07,0
19,4/04/2023 10:37:32:224,23.002,0,-9.9E+37,0,23.833,0,-9.9E+37,0,22.829,0,22.829,0,24.352,0,23.859,0,24.901,0,25.718,0,32.615,0,17.724,0,20.538,0,25.442,0,24.728,0,25.017,0,94.778,0,23.067,0,17.156,0,-9.9E+37,0,-6.2E-08,0,-6.2E-08,0
20,4/04/2023 10:37:42:224,23.244,0,-148.634,0,24.063,0,-9.9E+37,0,22.939,0,22.855,0,24.686,0,24.075,0,25.331,0,25.674,0,33.489,0,17.719,0,20.533,0,25.625,0,25.129,0,25.494,0,299.687,0,23.414,0,17.174,0,-161.194,0,6.2E-08,0,1.241E-07,0
21,4/04/2023 10:37:52:224,23.599,0,-100.675,0,24.316,0,-9.9E+37,0,23.249,0,23.014,0,24.988,0,24.216,0,25.854,0,25.867,0,34.298,0,17.724,0,20.59,0,25.781,0,25.479,0,26.012,0,281.676,0,23.615,0,17.144,0,-123.67,0,-6.2E-08,0,-4.14E-08,0
22,4/04/2023 10:38:02:224,25.31,0,-9.9E+37,0,24.747,0,-186.511,0,23.741,0,23.484,0,25.192,0,24.448,0,26.077,0,26.07,0,35.139,0,17.726,0,20.669,0,25.943,0,25.686,0,26.462,0,117.231,0,23.762,0,17.248,0,-9.9E+37,0,-6.2E-08,0,2.07E-08,0
23,4/04/2023 10:38:12:224,25.376,0,-9.9E+37,0,25.045,0,-189.759,0,24.25,0,24.026,0,25.481,0,24.495,0,26.664,0,26.266,0,35.884,0,17.702,0,20.727,0,26.12,0,25.835,0,26.929,0,55.587,0,24.039,0,17.206,0,-9.9E+37,0,8.27E-08,0,4.14E-08,0
24,4/04/2023 10:38:22:224,25.276,0,-9.9E+37,0,25.47,0,-138.014,0,24.658,0,24.503,0,26.011,0,24.619,0,27.249,0,26.756,0,36.737,0,17.702,0,20.749,0,26.402,0,26.107,0,27.407,0,111.914,0,24.483,0,17.167,0,-9.9E+37,0,-1.034E-07,0,4.14E-08,0
